sapling_ID;plot_ID;sapling_species;exclosure;herbivory_level;height_end2015;height_end2016.y;fragment_ID;edge_distance;relbasalarea_fsyl;relbasalarea_qrob;relbasalarea_qrub
01B_Ab;1;qrub;no;28.2;93;92;1;12.9378742;0;0.275555284;0.675293374
01B_Az;1;qrub;no;27.2;116;118;1;12.9378742;0;0.275555284;0.675293374
01B_Ba;1;fsyl;no;17.2;119;120;1;12.9378742;0;0.275555284;0.675293374
01C_Ab;1;qrub;yes;19;133;138;1;12.9378742;0;0.275555284;0.675293374
01C_Az;1;qrub;yes;23;121;130;1;12.9378742;0;0.275555284;0.675293374
01C_Zb;1;qrob;yes;23.7;153;143;1;12.9378742;0;0.275555284;0.675293374
01N_Ab;1;qrub;no;21.1;128;129;1;12.9378742;0;0.275555284;0.675293374
01N_Ba;1;fsyl;no;11.3;116;117;1;12.9378742;0;0.275555284;0.675293374
01N_Bz;1;fsyl;no;6.2;126;123;1;12.9378742;0;0.275555284;0.675293374
02B_Ab;2;qrub;no;5.6;138;127;2;46.83574934;1;0;0
02B_Az;2;qrub;no;1.8;113;147;2;46.83574934;1;0;0
02B_Ba;2;fsyl;no;4.9;100;100;2;46.83574934;1;0;0
02B_Za;2;qrob;no;5.3;109;112;2;46.83574934;1;0;0
02B_Zb;2;qrob;no;4.1;114;114;2;46.83574934;1;0;0
02C_Ab;2;qrub;yes;12.2;104;96;2;46.83574934;1;0;0
02C_Az;2;qrub;yes;6.9;114;117;2;46.83574934;1;0;0
02C_Ba;2;fsyl;yes;11.8;81;84;2;46.83574934;1;0;0
02C_Bz;2;fsyl;yes;5.2;84;90;2;46.83574934;1;0;0
02C_Za;2;qrob;yes;21;145;130;2;46.83574934;1;0;0
02C_Zb;2;qrob;yes;5.5;102;105;2;46.83574934;1;0;0
02N_Ab;2;qrub;no;4.9;114;137;2;46.83574934;1;0;0
02N_Az;2;qrub;no;5;132;146;2;46.83574934;1;0;0
02N_Bz;2;fsyl;no;33.88888889;94;90;2;46.83574934;1;0;0
02N_Zb;2;qrob;no;2.6;125;127;2;46.83574934;1;0;0
03B_Ab;3;qrub;yes;10.5;133;148;2;54.90954253;1;0;0
03B_Az;3;qrub;yes;14.7;127;140;2;54.90954253;1;0;0
03B_Ba;3;fsyl;yes;7.4;117;122;2;54.90954253;1;0;0
03B_Bz;3;fsyl;yes;8.2;127;130;2;54.90954253;1;0;0
03B_Za;3;qrob;yes;17.7;119;120;2;54.90954253;1;0;0
03B_Zb;3;qrob;yes;5.1;114;115;2;54.90954253;1;0;0
03C_Ab;3;qrub;no;8.7;127;137;2;54.90954253;1;0;0
03C_Az;3;qrub;no;5.3;134;145;2;54.90954253;1;0;0
03C_Ba;3;fsyl;no;2.6;100;113;2;54.90954253;1;0;0
03C_Bz;3;fsyl;no;3.8;95;98;2;54.90954253;1;0;0
03C_Za;3;qrob;no;6.6;132;134;2;54.90954253;1;0;0
03C_Zb;3;qrob;no;6.5;115;115;2;54.90954253;1;0;0
03N_Ab;3;qrub;no;3.5;113;124;2;54.90954253;1;0;0
03N_Az;3;qrub;no;3.3;125;143;2;54.90954253;1;0;0
03N_Ba;3;fsyl;no;5.5;100;83;2;54.90954253;1;0;0
03N_Bz;3;fsyl;no;5.5;101;108;2;54.90954253;1;0;0
03N_Za;3;qrob;no;3.9;125;134;2;54.90954253;1;0;0
03N_Zb;3;qrob;no;3.3;110;112;2;54.90954253;1;0;0
04B_Ab;4;qrub;no;29.7;119;127;3;130.6328305;0.566486863;0;0.433513137
04B_Az;4;qrub;no;7.5;141;107;3;130.6328305;0.566486863;0;0.433513137
04C_Ab;4;qrub;yes;32.22222222;121;117;3;130.6328305;0.566486863;0;0.433513137
04C_Az;4;qrub;yes;18.5;151;156;3;130.6328305;0.566486863;0;0.433513137
04C_Ba;4;fsyl;yes;25;105;100;3;130.6328305;0.566486863;0;0.433513137
04C_Bz;4;fsyl;yes;27.7;104;103;3;130.6328305;0.566486863;0;0.433513137
04N_Ab;4;qrub;no;5.3;96;106;3;130.6328305;0.566486863;0;0.433513137
04N_Az;4;qrub;no;8.7;111;128;3;130.6328305;0.566486863;0;0.433513137
04N_Bz;4;fsyl;no;22.2;113;118;3;130.6328305;0.566486863;0;0.433513137
05B_Ab;5;qrub;yes;13.2;95;105;3;90.05502069;0.34098282;0.265905535;0.393111646
05B_Az;5;qrub;yes;10.7;101;109;3;90.05502069;0.34098282;0.265905535;0.393111646
05C_Az;5;qrub;no;12.5;120;120;3;90.05502069;0.34098282;0.265905535;0.393111646
06B_Az;6;qrub;no;27.5;146;83;4;87.09609048;0.358213032;0;0.641786968
06B_Ba;6;fsyl;no;22.5;112;113;4;87.09609048;0.358213032;0;0.641786968
06B_Bz;6;fsyl;no;14;100;102;4;87.09609048;0.358213032;0;0.641786968
06B_Za;6;qrob;no;21.2;149;123;4;87.09609048;0.358213032;0;0.641786968
06C_Ab;6;qrub;no;17.7;135;144;4;87.09609048;0.358213032;0;0.641786968
06C_Bz;6;fsyl;no;4.1;118;117;4;87.09609048;0.358213032;0;0.641786968
06C_Zb;6;qrob;no;15.2;123;123;4;87.09609048;0.358213032;0;0.641786968
06N_Ab;6;qrub;yes;27.5;147;135;4;87.09609048;0.358213032;0;0.641786968
06N_Az;6;qrub;yes;51;119;127;4;87.09609048;0.358213032;0;0.641786968
